id	examNumber	questionNumber	category	topic	type	difficulty	question	optionA	optionB	optionC	optionD	optionE	answerIndex	correctAnswer	explanation	source	sourcePhoto	answerPhoto	image	imageAlt	imageCaption
"exam1-001"	"1"	"1"	"Radiation Safety"	"Bone Imaging"	"concept"	"1"	"Before tracer administration, all of the following preparations are required for a 27-year-old woman referred for total-body bone imaging except:"	"removing attenuating materials from the patient"	"answering the patient's questions"	"ruling out pregnancy"	"explaining the procedure to the patient"	"swab the injection site with alcohol"	"0"	"removing attenuating materials from the patient"	"Explaining the procedure and answering any questions the patient may have are preparations common to any procedure. If the patient is a female of childbearing age, the possibility of pregnancy must also be ruled out before administering the tracer. Pregnancy is a contraindication for procedures involving radiation unless the procedure is being performed for emergency reasons. It is not necessary to have the patient remove any attenuating materials until just before he or she is imaged."	"Source: Early and Sodee, 1995; p. 345, and Waterstram-Rich and Gilmore, et al., 2017; pp. 142-145."	"Question photos/Questions/Exam 1/IMG_1294.jpeg"	"Question photos/Answers/Exam 1/IMG_1201.jpeg"	""	""	""
"exam1-002"	"1"	"2"	"Clinical Procedures"	"Bone Imaging"	"concept"	"2"	"Which of the following structures normally appear as areas of increased activity on the bone images of children?"	"diaphyses of the long bones"	"breast tissue"	"lumbar spine and cranium"	"costochondral junctions and epiphyseal plates"	"metatarsals"	"3"	"costochondral junctions and epiphyseal plates"	"In children, normally increased tracer activity appears in areas of active bone growth. These areas include the epiphyseal plates at the ends of the long bones and the costochondral junctions in the ribs."	"Source: Waterstram-Rich and Gilmore, et al., 2017; pp. 586-587."	"Question photos/Questions/Exam 1/IMG_1294.jpeg"	"Question photos/Answers/Exam 1/IMG_1201.jpeg"	""	""	""
"exam1-003"	"1"	"3"	"Instrumentation & QC"	"Bone Imaging"	"concept"	"3"	"If tracer concentration is visualized in the skeleton, stomach, thyroid, and salivary glands on a bone image, the most likely explanation for these findings is that the:"	"patient was imaged too soon after tracer administration"	"patient's renal function is compromised"	"radiopharmaceutical contained excess free 99mTc pertechnetate"	"incorrect radiopharmaceutical was administered"	"radiopharmaceutical contained excess free 18F sodium"	"2"	"radiopharmaceutical contained excess free 99mTc pertechnetate"	"99mTc-labeled bone agents are prepared by combining medronate (MDP) or oxidronate (HDP) with 99mTc-pertechnetate. Typically about 3%-10% of the pertechnetate does not bind to the medronate (MDP) or oxidronate (HDP), so there is always some unbound or ""free"" pertechnetate in any bone tracer preparation. However, this percentage is small compared with the amount of 99mTc-medronate (MDP) or -oxidronate (HDP) in the preparation and is not visualized on the bone image. If the radiopharmaceutical was not properly compounded or the 99mTc-label detached from the chemical compound, the excess 99mTc-pertechnetate taken up by the thyroid, salivary glands, and stomach is visualized on the bone image."	"Source: Early and Sodee, 1995; pp. 96-103."	"Question photos/Questions/Exam 1/IMG_1294.jpeg"	"Question photos/Answers/Exam 1/IMG_1201.jpeg"	""	""	""
"exam1-004"	"1"	"4"	"Patient Care"	"Lung Imaging"	"concept"	"4"	"For interpretation of nuclear medicine lung images, a chest x-ray is required to:"	"rule out possible causes of the patient's symptoms"	"determine cardiac size"	"rule out previous lung surgery"	"rule out a pulmonary embolus"	"rule in a pulmonary embolus"	"0"	"rule out possible causes of the patient's symptoms"	"Many df the symptoms of pulmonary emboli are similar to those of rib fracture, myocardial infarction, and pneumonia. A chest radiograph clors the itepreting physician to rule out certain of these conditions, theby increasing the specificity of the lung image findings."	"Source: Early and Sodee, 1995; p. 451."	"Question photos/Questions/Exam 1/IMG_1294.jpeg"	"Question photos/Answers/Exam 1/IMG_1201.jpeg"	""	""	""
"exam1-005"	"1"	"5"	"Radiation Safety"	"Lung Imaging"	"image-interpretation"	"4"	"The image shown here was obtained after the administration of [99mTc] MAA. Which of the following is the most likely explanation for the quality of this lung perfusion image?"	"The image shows lung pathology."	"There is radioactive contamination on the patient's skin or the camera detector."	"Blood clotted to MAA particles was injected intravenously."	"Too many MAA particles were administered to the patient."	"A left-to-right shunt occurred in the heart."	"2"	"Blood clotted to MAA particles was injected intravenously."	"Blood that is withdrawn into the syringe and allowed to mix with [99mTc] MAA for a prolonged period may cause the MAA particles to clump together and the blood to clot. If this mixture is then injected into the patient, the clumped particles and labeled blood clots are trapped in the lung vasculature and appear on the image as multiple small hot spots."	"Source: Early and Sodee, 1995; p. 448."	"Question photos/Questions/Exam 1/IMG_1294.jpeg"	"Question photos/Answers/Exam 1/IMG_1201.jpeg"	"assets/question-bank/retake/exam1-005/e1q5.jpg"	"Graphic for Exam 1, Question 5."	""
"exam1-006"	"1"	"6"	"Image Production"	"Image Production"	"concept"	"1"	"The purpose of a charcoal filter in a xenon delivery unit is to absorb:"	"bacteria"	"carbon dioxide"	"xenon gas"	"moisture"	"oxygen"	"2"	"xenon gas"	"The NRC sets limits on the airborne concentration of 133Xe. For this reason, 133Xe that the patient exhales must be trapped for decay. Certain xenon delivery units use activated charcoal for trapping the xenon."	"Source: Waterstram-Rich and Gilmore, et al., 2017; pp. 480-481."	"Question photos/Questions/Exam 1/IMG_1294.jpeg"	"Question photos/Answers/Exam 1/IMG_1201.jpeg"	""	""	""
"exam1-007"	"1"	"7"	"Radiopharmaceuticals"	"MAA / Pulmonary Perfusion"	"image-interpretation"	"3"	"Radionuclide venography may be performed with which of the following radiopharmaceuticals?"	"[99mTc] pentetate (DTPA)"	"[99mTc] pertechnetate"	"[99mTc] exametazime (HMPAO)"	"[99mTc] mebrofenin (HIDA)"	"[99mTc] MAA"	"4"	"[99mTc] MAA"	"The deep venous system of the lower extremities may be imaged with [99mTc] MAA or 99mTc-labeled red blood cells. If [99mTc] MAA is used, the lungs may be imaged after the venogram to rule out pulmonary embolism."	"Source: Early and Sodee, 1995; pp. 430-431."	"Question photos/Questions/Exam 1/IMG_1294.jpeg"	"Question photos/Answers/Exam 1/IMG_1201.jpeg"	""	""	""
"exam1-008"	"1"	"8"	"Image Production"	"Thyroid Imaging"	"concept"	"3"	"If ectopic thyroid tissue is suspected, the technologist can expect to find it most commonly in which of the following areas?"	"in the brain"	"in the skull"	"in the nasopharynx"	"in the mediastinum"	"behind the optic nerve"	"3"	"in the mediastinum"	"Sublingual thyroid tissue occurs when the tissue does not descend from the base of the tongue to the neck during fetal development. It is often associated with hypothyroidism. Mediastinal thyroid tissue is often discovered after investigation of an anterior mediastinal mass visualized on chest x-ray."	"Source: Early and Sodee, 1995; pp. 635."	"Question photos/Questions/Exam 1/IMG_1294.jpeg"	"Question photos/Answers/Exam 1/IMG_1201.jpeg"	""	""	""
"exam1-009"	"1"	"9"	"Instrumentation & QC"	"Thyroid Imaging"	"concept"	"4"	"During parathyroid imaging, images of the chest as well as the neck are obtained to:"	"correct the image series for patient motion"	"visualize substernal thyroid tissue"	"visualize ectopic parathyroid tissue"	"diagnose hyperparathyroidism"	"to localize the parathyroid"	"2"	"visualize ectopic parathyroid tissue"	"The upper mediastinum between the heart and the thyroid is imaged to visualize ectopic parathyroid tissue."	"Source: Early and Sodee, 1995; p. 644."	"Question photos/Questions/Exam 1/IMG_1294.jpeg"	"Question photos/Answers/Exam 1/IMG_1201.jpeg"	""	""	""
"exam1-010"	"1"	"10"	"Clinical Procedures"	"Cardiac Imaging"	"concept"	"5"	"When performing a gated equilibrium cardiac study, which of the following anatomical views best separates the right and left ventricles?"	"left lateral"	"left anterior oblique"	"left posterior oblique"	"anterior"	"posterior"	"1"	"left anterior oblique"	"The left anterior oblique view is the projection from which the ejection fraction (EF) is calculated. It is extremely important to separate the two ventricles to obtain an accurate EF value. Typically, 35°-45° of rotation accomplishes the separation. However, the camera should be positioned according to the patient's own anatomy to optimize separation of the two structures."	"Source: Early and Sodee, 1995; pp. 384-385."	"Question photos/Questions/Exam 1/IMG_1294.jpeg"	"Question photos/Answers/Exam 1/IMG_1201.jpeg"	""	""	""
"exam1-011"	"1"	"11"	"Patient Care"	"Patient Care"	"concept"	"1"	"In preparation for a 201Tl stress test, patients are instructed to fast to:"	"prevent gastrointestinal upsets during exercise"	"minimize tracer uptake in the gastrointestinal tract"	"enhance myocardial tracer uptake"	"standardize test conditions among patients"	"prevent redistribution of the tracer"	"1"	"minimize tracer uptake in the gastrointestinal tract"	"Digestion directs more of the cardiac output toward the gut. Although this probably will not affect myocardial uptake of the tracer significantly, excessive tracer in the upper abdominal viscera interferes with visualization of the myocardial wall, especially when the patient is supine."	"Source: Early and Sodee, 1995; pp. 409-410."	"Question photos/Questions/Exam 1/IMG_1295.jpeg"	"Question photos/Answers/Exam 1/IMG_1201.jpeg"	""	""	""
